[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=0, close=-0.19, date=2005-04-07, high=-0.14, low=-0.24, open=-0.23, volumn=23314061]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=1, close=-0.18, date=2005-04-08, high=-0.17, low=-0.22, open=-0.19, volumn=10576336]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=2, close=-0.21, date=2005-04-11, high=-0.17, low=-0.22, open=-0.18, volumn=10120327]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=3, close=-0.26, date=2005-04-12, high=-0.21, low=-0.26, open=-0.21, volumn=7372393]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=4, close=-0.14, date=2005-04-13, high=-0.14, low=-0.23, open=-0.23, volumn=27978322]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=5, close=-0.17, date=2005-04-14, high=-0.1, low=-0.17, open=-0.1, volumn=33694998]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=6, close=-0.2, date=2005-04-15, high=-0.18, low=-0.22, open=-0.19, volumn=12710253]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=7, close=-0.24, date=2005-04-18, high=-0.21, low=-0.25, open=-0.22, volumn=6503605]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=8, close=-0.19, date=2005-04-19, high=-0.17, low=-0.23, open=-0.23, volumn=15019294]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=9, close=-0.22, date=2005-04-20, high=-0.19, low=-0.25, open=-0.23, volumn=7429840]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=10, close=-0.24, date=2005-04-21, high=-0.2, low=-0.27, open=-0.22, volumn=6928407]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=11, close=-0.29, date=2005-04-22, high=-0.23, low=-0.3, open=-0.25, volumn=9054892]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=12, close=-0.24, date=2005-04-25, high=-0.23, low=-0.32, open=-0.29, volumn=7891821]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=13, close=-0.17, date=2005-04-26, high=-0.12, low=-0.26, open=-0.24, volumn=20418929]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=14, close=-0.18, date=2005-04-27, high=-0.14, low=-0.2, open=-0.17, volumn=15968327]
